id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.,official_sites.info@mnunitedfc.com
1,Montreal Impact,Montreal Impact,Montreal Impact,montreal-impact,Canada,,2010,https://cdn.footystats.org/img/teams/canada-montreal-impact.png,,2019,,https://footystats.org/clubs/canada/montreal-impact,,,9,18,88,Domestic League,1846,Montreal Impact,[],https://www.impactmontreal.com/en,
2,New York City FC,New York City,New York City FC,new-york-city-fc,USA,,2013,https://cdn.footystats.org/img/teams/usa-new-york-city-fc.png,,2019,,https://footystats.org/clubs/usa/new-york-city-fc,,,1,3,83,Domestic League,1846,New York City FC,[],https://www.nycfc.com/,
4,New York Red Bulls,New York RB,New York Red Bulls,new-york-red-bulls,USA,,1995,https://cdn.footystats.org/img/teams/usa-new-york-red-bulls.png,,2019,,https://footystats.org/clubs/usa/new-york-red-bulls,,,6,13,66,Domestic League,1846,New York Red Bulls,[],https://www.newyorkredbulls.com,
5,Vancouver Whitecaps FC,Vancouver Whitecaps,Vancouver Whitecaps FC,vancouver-whitecaps-fc,Canada,,1986,https://cdn.footystats.org/img/teams/canada-vancouver-whitecaps-fc.png,,2019,,https://footystats.org/clubs/canada/vancouver-whitecaps-fc,,,12,23,82,Domestic League,1846,Vancouver Whitecaps FC,[],https://www.whitecapsfc.com/,
6,Houston Dynamo,Houston Dynamo,Houston Dynamo,houston-dynamo,USA,,2005,https://cdn.footystats.org/img/teams/usa-houston-dynamo.png,,2019,,https://footystats.org/clubs/usa/houston-dynamo,,,10,19,88,Domestic League,1846,Houston Dynamo,[],https://www.houstondynamo.com/,
7,Chicago Fire,Chicago Fire,Chicago Fire,chicago-fire,USA,,1997,https://cdn.footystats.org/img/teams/usa-chicago-fire.png,,2019,,https://footystats.org/clubs/usa/chicago-fire,,,8,16,85,Domestic League,1846,Chicago Fire,[],https://www.chicago-fire.com/,
8,Sporting Kansas City,Sporting KC,Sporting Kansas City,sporting-kansas-city,USA,,1995,https://cdn.footystats.org/img/teams/usa-sporting-kansas-city.png,,2019,,https://footystats.org/clubs/usa/sporting-kansas-city,,,11,21,94,Domestic League,1846,Sporting Kansas City,[],https://www.sportingkc.com/,
9,Columbus Crew,Columbus Crew,Columbus Crew,columbus-crew,USA,,1996,https://cdn.footystats.org/img/teams/usa-columbus-crew.png,,2019,,https://footystats.org/clubs/usa/columbus-crew,,,10,20,50,Domestic League,1846,Columbus Crew,[],https://www.columbuscrewsc.com/,
10,LA Galaxy,LA Galaxy,LA Galaxy,la-galaxy,USA,,1995,https://cdn.footystats.org/img/teams/usa-la-galaxy.png,,2019,,https://footystats.org/clubs/usa/la-galaxy,,,5,8,117,Domestic League,1846,LA Galaxy,['Los Angeles Galaxy'],https://www.lagalaxy.com/,
11,New England Revolution,New England Revolution,New England Revolution,new-england-revolution,USA,,1995,https://cdn.footystats.org/img/teams/usa-new-england-revolution.png,,2019,,https://footystats.org/clubs/usa/new-england-revolution,,,7,14,91,Domestic League,1846,New England Revolution,[],https://www.revolutionsoccer.net/,
12,Colorado Rapids,Colorado Rapids,Colorado Rapids,colorado-rapids,USA,,1996,https://cdn.footystats.org/img/teams/usa-colorado-rapids.png,,2019,,https://footystats.org/clubs/usa/colorado-rapids,,,9,17,103,Domestic League,1846,Colorado Rapids,[],https://www.coloradorapids.com/,
13,FC Dallas,FC Dallas,FC Dallas,fc-dallas,USA,,1996,https://cdn.footystats.org/img/teams/usa-fc-dallas.png,,2019,,https://footystats.org/clubs/usa/fc-dallas,,,7,12,80,Domestic League,1846,FC Dallas,[],https://www.fcdallas.com/,
14,Real Salt Lake,Real Salt Lake,Real Salt Lake,real-salt-lake,USA,,2004,https://cdn.footystats.org/img/teams/usa-real-salt-lake.png,,2019,,https://footystats.org/clubs/usa/real-salt-lake,,,4,7,58,Domestic League,1846,Real Salt Lake,[],https://www.rsl.com/,
15,San Jose Earthquakes,SJ Earthquakes,San Jose Earthquakes,san-jose-earthquakes,USA,,1995,https://cdn.footystats.org/img/teams/usa-san-jose-earthquakes.png,,2019,,https://footystats.org/clubs/usa/san-jose-earthquakes,,,8,15,85,Domestic League,1846,San Jose Earthquakes,[],https://www.sjearthquakes.com/,
16,Philadelphia Union,Philadelphia Union,Philadelphia Union,philadelphia-union,USA,,2008,https://cdn.footystats.org/img/teams/usa-philadelphia-union.png,,2019,,https://footystats.org/clubs/usa/philadelphia-union,,,3,6,89,Domestic League,1846,Philadelphia Union,[],https://www.philadelphiaunion.com/,
17,Orlando City SC,Orlando City,Orlando City SC,orlando-city-sc,USA,,2008,https://cdn.footystats.org/img/teams/usa-orlando-city-sc.png,,2019,,https://footystats.org/clubs/usa/orlando-city-sc,,,11,22,85,Domestic League,1846,Orlando City SC,[],https://www.orlandocitysc.com/,
18,Seattle Sounders FC,Seattle Sounders,Seattle Sounders FC,seattle-sounders-fc,USA,,2007,https://cdn.footystats.org/img/teams/usa-seattle-sounders-fc.png,,2019,,https://footystats.org/clubs/usa/seattle-sounders-fc,,,2,2,95,Domestic League,1846,Seattle Sounders FC,[],https://www.soundersfc.com/,
19,Toronto FC,Toronto,Toronto FC,toronto-fc,Canada,,2006,https://cdn.footystats.org/img/teams/canada-toronto-fc.png,,2019,,https://footystats.org/clubs/canada/toronto-fc,,,4,5,82,Domestic League,1846,Toronto FC,[],https://www.torontofc.ca,
20,Portland Timbers,Portland Timbers,Portland Timbers,portland-timbers,USA,,2009,https://cdn.footystats.org/img/teams/usa-portland-timbers.png,,2019,,https://footystats.org/clubs/usa/portland-timbers,,,6,11,86,Domestic League,1846,Portland Timbers,[],https://www.timbers.com,
1015,Minnesota United FC,Minnesota United,Minnesota United FC,minnesota-united-fc,USA,,2010,https://cdn.footystats.org/img/teams/usa-minnesota-united-fc.png,,2019,,https://footystats.org/clubs/usa/minnesota-united-fc,,,3,9,83,Domestic League,1846,Minnesota United FC,[],,http://www.mnunitedfc.com
1016,Atlanta United FC,Atlanta United FC,Atlanta United FC,atlanta-united-fc,USA,,2014,https://cdn.footystats.org/img/teams/usa-atlanta-united-fc.png,,2019,,https://footystats.org/clubs/usa/atlanta-united-fc,,,2,4,70,Domestic League,1846,Atlanta United FC,[],http://www.atlutd.com/,
6490,Los Angeles FC,Los Angeles FC,Los Angeles FC,los-angeles-fc,USA,,2014,https://cdn.footystats.org/img/teams/usa-los-angeles-fc.png,,2019,,https://footystats.org/clubs/usa/los-angeles-fc,,,1,1,108,Domestic League,1846,Los Angeles FC,[],https://www.lafc.com/,
8043,FC Cincinnati,FC Cincinnati,FC Cincinnati,fc-cincinnati,USA,,2015,https://cdn.footystats.org/img/teams/usa-fc-cincinnati.png,,2019,,https://footystats.org/clubs/usa/fc-cincinnati,,,12,24,91,Domestic League,1846,FC Cincinnati,[],http://www.fccincinnati.com/,
13401,DC United,DC United,DC United,dc-united,USA,,1996,https://cdn.footystats.org/img/teams/usa-dc-united.png,,2019,,https://footystats.org/clubs/usa/dc-united,,,5,10,63,Domestic League,1846,DC United,['DC United'],https://www.dcunited.com/,
